ClipID,YouTubeID,CropSize,StartTime,EndTime
1_0000/shot_0895,dfo_rMmdi0A,640:256:0:52,01:06:01.250,01:06:12.500
1_0000/shot_0908,dfo_rMmdi0A,640:256:0:52,01:07:09.125,01:07:19.167
1_0000/shot_0912,dfo_rMmdi0A,640:256:0:52,01:07:27.667,01:07:44.958
1_0000/shot_0915,dfo_rMmdi0A,640:256:0:52,01:07:48.417,01:07:59.542
1_0000/shot_1042,dfo_rMmdi0A,640:256:0:52,01:13:03.292,01:13:13.333
1_0000/shot_1073,dfo_rMmdi0A,640:256:0:52,01:14:14.792,01:14:28.667
1_0000/shot_1074,dfo_rMmdi0A,640:256:0:52,01:14:28.667,01:14:41.833
1_0000/shot_1077,dfo_rMmdi0A,640:256:0:52,01:14:55.208,01:15:09.417
1_0000/shot_1081,dfo_rMmdi0A,640:256:0:52,01:15:25.208,01:15:36.167
1_0000/shot_1138,dfo_rMmdi0A,640:256:0:52,01:18:57.917,01:19:13.542
1_0000/shot_1155,dfo_rMmdi0A,640:256:0:52,01:22:05.625,01:22:16.333
1_0000/shot_1210,dfo_rMmdi0A,640:256:0:52,01:25:20.500,01:25:31.167
1_0000/shot_1215,dfo_rMmdi0A,640:256:0:52,01:25:58.250,01:26:16.833
1_0000/shot_1244,dfo_rMmdi0A,640:256:0:52,01:29:39.167,01:29:55.375
1_0000/shot_1245,dfo_rMmdi0A,640:256:0:52,01:29:55.375,01:30:10.917
1_0000/shot_1246,dfo_rMmdi0A,640:256:0:52,01:30:10.917,01:30:22.375
1_0000/shot_1247,dfo_rMmdi0A,640:256:0:52,01:30:22.375,01:30:38.875
1_0000/shot_1250,dfo_rMmdi0A,640:256:0:52,01:30:54.083,01:31:05.958
1_0000/shot_1253,dfo_rMmdi0A,640:256:0:52,01:31:20.458,01:31:33.958
1_0001/shot_0061,mQTLzZh1oIg,640:240:0:60,00:06:01.133,00:06:13.100
1_0001/shot_0092,mQTLzZh1oIg,640:240:0:60,00:08:30.333,00:08:46.833
1_0001/shot_0102,mQTLzZh1oIg,640:240:0:60,00:10:07.333,00:10:22.633
1_0001/shot_0113,mQTLzZh1oIg,640:240:0:60,00:12:24.967,00:12:38.467
1_0001/shot_0115,mQTLzZh1oIg,640:240:0:60,00:12:40.867,00:12:54.900
1_0001/shot_0129,mQTLzZh1oIg,640:240:0:60,00:13:26.333,00:13:39.667
1_0001/shot_0217,mQTLzZh1oIg,640:240:0:60,00:24:04.267,00:24:16.900
1_0001/shot_0220,mQTLzZh1oIg,640:240:0:60,00:24:31.667,00:24:46.367
1_0001/shot_0288,mQTLzZh1oIg,640:240:0:60,00:29:43.067,00:29:55.867
1_0001/shot_0444,mQTLzZh1oIg,640:240:0:60,00:43:16.500,00:43:34.933
1_0001/shot_0447,mQTLzZh1oIg,640:240:0:60,00:43:45.500,00:43:58.700
1_0001/shot_0539,mQTLzZh1oIg,640:240:0:60,00:50:38.733,00:50:57.300
1_0001/shot_0630,mQTLzZh1oIg,640:240:0:60,00:57:40.267,00:57:51.233
1_0001/shot_0647,mQTLzZh1oIg,640:240:0:60,00:59:42.500,00:59:54.967
1_0001/shot_0661,mQTLzZh1oIg,640:240:0:60,01:01:49.667,01:02:01.333
1_0001/shot_0695,mQTLzZh1oIg,640:240:0:60,01:04:22.833,01:04:40.300
1_0001/shot_0745,mQTLzZh1oIg,640:240:0:60,01:08:05.367,01:08:19.500
1_0001/shot_0748,mQTLzZh1oIg,640:240:0:60,01:08:33.467,01:08:46.167
1_0001/shot_0835,mQTLzZh1oIg,640:240:0:60,01:15:20.233,01:15:36.933
1_0001/shot_0849,mQTLzZh1oIg,640:240:0:60,01:17:08.333,01:17:25.233
1_0001/shot_0907,mQTLzZh1oIg,640:240:0:60,01:21:02.933,01:21:17.733
1_0001/shot_0979,mQTLzZh1oIg,640:240:0:60,01:26:57.067,01:27:09.267
1_0002/shot_0021,p1sr3gofcUo,640:320:0:20,00:00:38.458,00:00:51.292
1_0002/shot_0142,p1sr3gofcUo,640:320:0:20,00:06:04.292,00:06:19.917
1_0002/shot_0228,p1sr3gofcUo,640:320:0:20,00:10:54.583,00:11:09.583
1_0002/shot_0308,p1sr3gofcUo,640:320:0:20,00:14:59.625,00:15:10.583
1_0002/shot_0310,p1sr3gofcUo,640:320:0:20,00:15:12.167,00:15:22.458
1_0002/shot_0381,p1sr3gofcUo,640:320:0:20,00:22:29.542,00:22:43.500
1_0002/shot_0387,p1sr3gofcUo,640:320:0:20,00:22:55.500,00:23:09.958
1_0002/shot_0545,p1sr3gofcUo,640:320:0:20,00:29:43.167,00:30:01.500
1_0002/shot_0554,p1sr3gofcUo,640:320:0:20,00:30:28.458,00:30:46.250
1_0002/shot_0580,p1sr3gofcUo,640:320:0:20,00:32:15.375,00:32:28.292
1_0002/shot_0841,p1sr3gofcUo,640:320:0:20,00:48:32.667,00:48:44.250
1_0002/shot_0963,p1sr3gofcUo,640:320:0:20,00:54:46.125,00:54:58.917
1_0002/shot_0972,p1sr3gofcUo,640:320:0:20,00:55:16.958,00:55:28.875
1_0002/shot_1015,p1sr3gofcUo,640:320:0:20,00:57:48.792,00:58:00.000
1_0002/shot_1053,p1sr3gofcUo,640:320:0:20,00:59:25.083,00:59:38.083
1_0002/shot_1224,p1sr3gofcUo,640:320:0:20,01:08:09.833,01:08:22.333
1_0002/shot_1229,p1sr3gofcUo,640:320:0:20,01:08:41.792,01:08:54.833
1_0002/shot_1269,p1sr3gofcUo,640:320:0:20,01:11:01.250,01:11:17.208
1_0002/shot_1291,p1sr3gofcUo,640:320:0:20,01:12:10.167,01:12:22.417
1_0002/shot_1445,p1sr3gofcUo,640:320:0:20,01:18:40.750,01:18:51.708
1_0002/shot_1481,p1sr3gofcUo,640:320:0:20,01:21:08.125,01:21:25.583
1_0002/shot_1507,p1sr3gofcUo,640:320:0:20,01:23:04.458,01:23:16.083
1_0002/shot_1682,p1sr3gofcUo,640:320:0:20,01:31:41.625,01:31:53.500
1_0002/shot_1690,p1sr3gofcUo,640:320:0:20,01:32:07.333,01:32:22.625
1_0003/shot_0097,L1-fR2s1sYI,640:256:0:52,00:02:31.875,00:02:48.500
1_0003/shot_0102,L1-fR2s1sYI,640:256:0:52,00:03:01.792,00:03:21.458
1_0003/shot_0178,L1-fR2s1sYI,640:256:0:52,00:06:51.292,00:07:05.792
1_0003/shot_0280,L1-fR2s1sYI,640:256:0:52,00:11:30.875,00:11:41.667
1_0003/shot_0281,L1-fR2s1sYI,640:256:0:52,00:11:41.667,00:12:00.417
1_0003/shot_0303,L1-fR2s1sYI,640:256:0:52,00:13:06.333,00:13:19.875
1_0003/shot_0304,L1-fR2s1sYI,640:256:0:52,00:13:19.875,00:13:31.250
1_0003/shot_0320,L1-fR2s1sYI,640:256:0:52,00:14:15.417,00:14:31.667
1_0003/shot_0341,L1-fR2s1sYI,640:256:0:52,00:15:19.292,00:15:36.083
1_0003/shot_0448,L1-fR2s1sYI,640:256:0:52,00:21:25.375,00:21:35.458
1_0003/shot_0519,L1-fR2s1sYI,640:256:0:52,00:24:52.167,00:25:07.375
1_0003/shot_0533,L1-fR2s1sYI,640:256:0:52,00:25:33.167,00:25:43.208
1_0003/shot_0562,L1-fR2s1sYI,640:256:0:52,00:27:12.000,00:27:31.667
1_0003/shot_0632,L1-fR2s1sYI,640:256:0:52,00:32:28.417,00:32:39.958
1_0003/shot_0641,L1-fR2s1sYI,640:256:0:52,00:33:08.833,00:33:21.000
1_0003/shot_0783,L1-fR2s1sYI,640:256:0:52,00:41:41.083,00:42:01.083
1_0003/shot_0784,L1-fR2s1sYI,640:256:0:52,00:42:01.083,00:42:12.417
1_0003/shot_0845,L1-fR2s1sYI,640:256:0:52,00:45:19.792,00:45:30.250
1_0003/shot_1563,L1-fR2s1sYI,640:256:0:52,01:19:44.375,01:19:54.792
1_0003/shot_1573,L1-fR2s1sYI,640:256:0:52,01:20:26.375,01:20:37.333
1_0003/shot_1598,L1-fR2s1sYI,640:256:0:52,01:21:56.667,01:22:07.000
1_0003/shot_1825,L1-fR2s1sYI,640:256:0:52,01:31:05.083,01:31:16.583
1_0004/shot_0002,QicqDU2PpAU,640:256:0:52,00:00:42.360,00:00:55.000
1_0004/shot_0006,QicqDU2PpAU,640:256:0:52,00:01:37.600,00:01:50.080
1_0004/shot_0026,QicqDU2PpAU,640:256:0:52,00:03:52.560,00:04:05.640
1_0004/shot_0057,QicqDU2PpAU,640:256:0:52,00:06:05.920,00:06:21.280
1_0004/shot_0146,QicqDU2PpAU,640:256:0:52,00:10:24.400,00:10:35.880
1_0004/shot_0168,QicqDU2PpAU,640:256:0:52,00:11:46.760,00:11:58.320
1_0004/shot_0202,QicqDU2PpAU,640:256:0:52,00:13:26.160,00:13:37.760
1_0004/shot_0224,QicqDU2PpAU,640:256:0:52,00:14:53.280,00:15:07.360
1_0004/shot_0225,QicqDU2PpAU,640:256:0:52,00:15:07.360,00:15:18.320
1_0004/shot_0231,QicqDU2PpAU,640:256:0:52,00:15:26.640,00:15:36.680
1_0004/shot_0389,QicqDU2PpAU,640:256:0:52,00:23:08.520,00:23:21.360
1_0004/shot_0408,QicqDU2PpAU,640:256:0:52,00:24:11.840,00:24:24.640
1_0004/shot_0412,QicqDU2PpAU,640:256:0:52,00:24:44.320,00:24:55.760
1_0004/shot_0414,QicqDU2PpAU,640:256:0:52,00:24:57.480,00:25:14.000
1_0004/shot_0584,QicqDU2PpAU,640:256:0:52,00:34:14.040,00:34:30.760
1_0004/shot_0587,QicqDU2PpAU,640:256:0:52,00:34:44.400,00:34:55.320
1_0004/shot_0600,QicqDU2PpAU,640:256:0:52,00:36:10.640,00:36:24.600
1_0004/shot_0611,QicqDU2PpAU,640:256:0:52,00:36:57.440,00:37:08.360
1_0004/shot_0614,QicqDU2PpAU,640:256:0:52,00:37:19.040,00:37:32.920
1_0004/shot_0722,QicqDU2PpAU,640:256:0:52,00:43:32.560,00:43:49.920
1_0004/shot_0725,QicqDU2PpAU,640:256:0:52,00:43:52.800,00:44:04.520
1_0004/shot_0734,QicqDU2PpAU,640:256:0:52,00:44:32.600,00:44:46.880
1_0004/shot_1117,QicqDU2PpAU,640:256:0:52,01:03:31.760,01:03:42.600
1_0004/shot_1267,QicqDU2PpAU,640:256:0:52,01:10:11.080,01:10:22.320
1_0004/shot_1303,QicqDU2PpAU,640:256:0:52,01:13:05.120,01:13:22.600
1_0004/shot_1314,QicqDU2PpAU,640:256:0:52,01:14:10.720,01:14:21.880
1_0004/shot_1315,QicqDU2PpAU,640:256:0:52,01:14:21.880,01:14:34.120
1_0004/shot_1360,QicqDU2PpAU,640:256:0:52,01:17:19.800,01:17:31.960
1_0004/shot_1433,QicqDU2PpAU,640:256:0:52,01:21:09.480,01:21:19.720
1_0004/shot_1435,QicqDU2PpAU,640:256:0:52,01:21:20.480,01:21:32.760
1_0004/shot_1450,QicqDU2PpAU,640:256:0:52,01:22:21.240,01:22:31.720
1_0004/shot_1521,QicqDU2PpAU,640:256:0:52,01:27:15.840,01:27:26.280
1_0004/shot_1636,QicqDU2PpAU,640:256:0:52,01:31:31.200,01:31:45.280
1_0004/shot_1786,QicqDU2PpAU,640:256:0:52,01:37:49.040,01:38:04.200
1_0005/shot_0000,AOyQ9ms8Oq4,640:352:0:4,00:00:00.000,00:00:15.432
1_0005/shot_0124,AOyQ9ms8Oq4,640:352:0:4,00:05:40.674,00:05:55.397
1_0005/shot_0206,AOyQ9ms8Oq4,640:352:0:4,00:10:21.579,00:10:31.589
1_0005/shot_0297,AOyQ9ms8Oq4,640:352:0:4,00:16:43.127,00:16:53.304
1_0005/shot_0298,AOyQ9ms8Oq4,640:352:0:4,00:16:53.304,00:17:03.856
1_0005/shot_0346,AOyQ9ms8Oq4,640:352:0:4,00:19:56.028,00:20:08.541
1_0005/shot_0367,AOyQ9ms8Oq4,640:352:0:4,00:21:47.223,00:21:58.317
1_0005/shot_0368,AOyQ9ms8Oq4,640:352:0:4,00:21:58.317,00:22:10.829
1_0005/shot_0423,AOyQ9ms8Oq4,640:352:0:4,00:26:14.656,00:26:27.294
1_0005/shot_0567,AOyQ9ms8Oq4,640:352:0:4,00:37:04.097,00:37:15.525
1_0005/shot_0591,AOyQ9ms8Oq4,640:352:0:4,00:40:23.254,00:40:40.355
1_0005/shot_0633,AOyQ9ms8Oq4,640:352:0:4,00:42:51.736,00:43:06.042
1_0005/shot_0651,AOyQ9ms8Oq4,640:352:0:4,00:43:54.549,00:44:07.061
1_0005/shot_0694,AOyQ9ms8Oq4,640:352:0:4,00:47:03.988,00:47:14.749
1_0005/shot_0772,AOyQ9ms8Oq4,640:352:0:4,00:54:04.950,00:54:22.259
1_0005/shot_0862,AOyQ9ms8Oq4,640:352:0:4,01:00:41.930,01:00:54.651
1_0005/shot_0990,AOyQ9ms8Oq4,640:352:0:4,01:08:41.659,01:08:52.211
1_0005/shot_1013,AOyQ9ms8Oq4,640:352:0:4,01:10:19.257,01:10:32.353
1_0005/shot_1057,AOyQ9ms8Oq4,640:352:0:4,01:13:14.724,01:13:29.530
1_0005/shot_1091,AOyQ9ms8Oq4,640:352:0:4,01:16:08.397,01:16:21.243
1_0005/shot_1101,AOyQ9ms8Oq4,640:352:0:4,01:17:01.659,01:17:16.590
1_0005/shot_1123,AOyQ9ms8Oq4,640:352:0:4,01:19:06.158,01:19:18.879
1_0005/shot_1259,AOyQ9ms8Oq4,640:352:0:4,01:28:31.973,01:28:48.198
1_0005/shot_1278,AOyQ9ms8Oq4,640:352:0:4,01:30:15.035,01:30:26.171
1_0006/shot_0070,5ESNKT5NnKc,640:256:0:52,00:03:53.458,00:04:09.125
1_0006/shot_0085,5ESNKT5NnKc,640:256:0:52,00:05:13.417,00:05:23.417
1_0006/shot_0099,5ESNKT5NnKc,640:256:0:52,00:06:45.417,00:06:56.750
1_0006/shot_0134,5ESNKT5NnKc,640:256:0:52,00:09:36.417,00:09:52.625
1_0006/shot_0152,5ESNKT5NnKc,640:256:0:52,00:12:16.292,00:12:27.542
1_0006/shot_0258,5ESNKT5NnKc,640:256:0:52,00:17:39.708,00:17:54.875
1_0006/shot_0366,5ESNKT5NnKc,640:256:0:52,00:26:41.833,00:26:56.208
1_0006/shot_0416,5ESNKT5NnKc,640:256:0:52,00:30:22.167,00:30:39.000
1_0006/shot_0425,5ESNKT5NnKc,640:256:0:52,00:31:28.417,00:31:42.667
1_0006/shot_0427,5ESNKT5NnKc,640:256:0:52,00:31:49.333,00:32:00.042
1_0006/shot_0535,5ESNKT5NnKc,640:256:0:52,00:39:42.375,00:39:55.333
1_0006/shot_0585,5ESNKT5NnKc,640:256:0:52,00:42:37.625,00:42:48.583
1_0006/shot_0633,5ESNKT5NnKc,640:256:0:52,00:45:36.958,00:45:52.750
1_0006/shot_0639,5ESNKT5NnKc,640:256:0:52,00:46:37.000,00:46:50.458
1_0006/shot_0642,5ESNKT5NnKc,640:256:0:52,00:46:56.042,00:47:10.125
1_0006/shot_0652,5ESNKT5NnKc,640:256:0:52,00:48:05.833,00:48:22.250
1_0006/shot_0674,5ESNKT5NnKc,640:256:0:52,00:49:35.750,00:49:47.417
1_0006/shot_0700,5ESNKT5NnKc,640:256:0:52,00:51:08.625,00:51:24.167
1_0006/shot_0708,5ESNKT5NnKc,640:256:0:52,00:51:40.250,00:51:54.667
1_0006/shot_0712,5ESNKT5NnKc,640:256:0:52,00:52:03.625,00:52:16.292
1_0006/shot_0731,5ESNKT5NnKc,640:256:0:52,00:53:17.875,00:53:33.250
1_0006/shot_0740,5ESNKT5NnKc,640:256:0:52,00:54:19.875,00:54:37.542
1_0006/shot_0741,5ESNKT5NnKc,640:256:0:52,00:54:37.542,00:54:50.167
1_0006/shot_0742,5ESNKT5NnKc,640:256:0:52,00:54:50.167,00:55:06.750
1_0006/shot_0745,5ESNKT5NnKc,640:256:0:52,00:55:28.625,00:55:40.250
1_0006/shot_0751,5ESNKT5NnKc,640:256:0:52,00:56:03.458,00:56:13.875
1_0006/shot_0781,5ESNKT5NnKc,640:256:0:52,00:58:37.625,00:58:48.375
1_0006/shot_0784,5ESNKT5NnKc,640:256:0:52,00:58:58.083,00:59:08.500
1_0006/shot_0864,5ESNKT5NnKc,640:256:0:52,01:03:52.542,01:04:03.250
1_0006/shot_0866,5ESNKT5NnKc,640:256:0:52,01:04:06.333,01:04:19.833
1_0006/shot_0909,5ESNKT5NnKc,640:256:0:52,01:07:09.125,01:07:19.167
1_0006/shot_0913,5ESNKT5NnKc,640:256:0:52,01:07:27.667,01:07:44.958
1_0006/shot_0916,5ESNKT5NnKc,640:256:0:52,01:07:48.417,01:07:59.542
1_0006/shot_1042,5ESNKT5NnKc,640:256:0:52,01:13:03.292,01:13:13.333
1_0006/shot_1073,5ESNKT5NnKc,640:256:0:52,01:14:14.792,01:14:28.667
1_0006/shot_1074,5ESNKT5NnKc,640:256:0:52,01:14:28.667,01:14:41.833
1_0006/shot_1081,5ESNKT5NnKc,640:256:0:52,01:15:25.208,01:15:36.167
1_0006/shot_1138,5ESNKT5NnKc,640:256:0:52,01:18:57.917,01:19:13.542
1_0006/shot_1155,5ESNKT5NnKc,640:256:0:52,01:22:05.625,01:22:16.333
1_0006/shot_1211,5ESNKT5NnKc,640:256:0:52,01:25:20.500,01:25:31.167
1_0006/shot_1216,5ESNKT5NnKc,640:256:0:52,01:25:58.250,01:26:16.833
1_0006/shot_1223,5ESNKT5NnKc,640:256:0:52,01:26:34.000,01:26:45.333
1_0006/shot_1244,5ESNKT5NnKc,640:256:0:52,01:29:39.167,01:29:55.375
1_0006/shot_1245,5ESNKT5NnKc,640:256:0:52,01:29:55.375,01:30:10.917
1_0006/shot_1246,5ESNKT5NnKc,640:256:0:52,01:30:10.917,01:30:22.375
1_0006/shot_1250,5ESNKT5NnKc,640:256:0:52,01:30:54.083,01:31:05.958
1_0006/shot_1253,5ESNKT5NnKc,640:256:0:52,01:31:20.458,01:31:33.958
1_0007/shot_0246,_nQJ8B5NtA8,640:272:0:44,00:10:17.450,00:10:28.378
1_0007/shot_0498,_nQJ8B5NtA8,640:272:0:44,00:20:20.719,00:20:34.442
1_0007/shot_0503,_nQJ8B5NtA8,640:272:0:44,00:20:55.838,00:21:06.182
1_0007/shot_0557,_nQJ8B5NtA8,640:272:0:44,00:24:04.276,00:24:15.287
1_0007/shot_0976,_nQJ8B5NtA8,640:272:0:44,00:39:37.625,00:39:48.636
1_0007/shot_1128,_nQJ8B5NtA8,640:272:0:44,00:46:21.028,00:46:32.623
1_0007/shot_1465,_nQJ8B5NtA8,640:272:0:44,00:58:51.737,00:59:01.747
1_0007/shot_1590,_nQJ8B5NtA8,640:272:0:44,01:06:02.667,01:06:16.764
1_0007/shot_2213,_nQJ8B5NtA8,640:272:0:44,01:26:42.239,01:26:52.290
1_0008/shot_0151,a_Ul72nVtzk,640:256:0:52,00:08:24.337,00:08:40.437
1_0008/shot_0186,a_Ul72nVtzk,640:256:0:52,00:10:42.767,00:10:55.280
1_0008/shot_0461,a_Ul72nVtzk,640:256:0:52,00:21:53.812,00:22:04.698
1_0008/shot_0671,a_Ul72nVtzk,640:256:0:52,00:33:09.654,00:33:22.167
1_0008/shot_0681,a_Ul72nVtzk,640:256:0:52,00:33:59.246,00:34:09.422
1_0008/shot_0721,a_Ul72nVtzk,640:256:0:52,00:36:16.216,00:36:27.018
1_0008/shot_0811,a_Ul72nVtzk,640:256:0:52,00:41:02.335,00:41:15.682
1_0008/shot_0871,a_Ul72nVtzk,640:256:0:52,00:43:29.190,00:43:42.662
1_0008/shot_0892,a_Ul72nVtzk,640:256:0:52,00:45:07.121,00:45:20.051
1_0008/shot_0932,a_Ul72nVtzk,640:256:0:52,00:47:34.602,00:47:45.071
1_0008/shot_0942,a_Ul72nVtzk,640:256:0:52,00:48:18.646,00:48:29.657
1_0008/shot_0947,a_Ul72nVtzk,640:256:0:52,00:48:45.840,00:49:02.106
1_0008/shot_0948,a_Ul72nVtzk,640:256:0:52,00:49:02.106,00:49:15.452
1_0008/shot_0950,a_Ul72nVtzk,640:256:0:52,00:49:25.421,00:49:39.810
1_0008/shot_0951,a_Ul72nVtzk,640:256:0:52,00:49:39.810,00:49:51.864
1_0008/shot_1000,a_Ul72nVtzk,640:256:0:52,00:53:05.933,00:53:19.488
1_0008/shot_1133,a_Ul72nVtzk,640:256:0:52,01:01:40.572,01:01:51.583
1_0008/shot_1207,a_Ul72nVtzk,640:256:0:52,01:04:47.842,01:04:59.020
1_0008/shot_1242,a_Ul72nVtzk,640:256:0:52,01:07:22.956,01:07:34.092
1_0008/shot_1256,a_Ul72nVtzk,640:256:0:52,01:08:20.096,01:08:34.277
1_0008/shot_1304,a_Ul72nVtzk,640:256:0:52,01:11:10.892,01:11:21.444
1_0008/shot_1335,a_Ul72nVtzk,640:256:0:52,01:13:23.524,01:13:36.329
1_0008/shot_1569,a_Ul72nVtzk,640:256:0:52,01:24:21.390,01:24:36.655
1_0008/shot_1579,a_Ul72nVtzk,640:256:0:52,01:25:27.622,01:25:39.176
1_0008/shot_1597,a_Ul72nVtzk,640:256:0:52,01:26:59.673,01:27:15.439
1_0008/shot_1612,a_Ul72nVtzk,640:256:0:52,01:28:13.830,01:28:29.721
1_0008/shot_1626,a_Ul72nVtzk,640:256:0:52,01:29:23.316,01:29:34.244
1_0008/shot_1764,a_Ul72nVtzk,640:256:0:52,01:36:25.154,01:36:40.670
1_0008/shot_1804,a_Ul72nVtzk,640:256:0:52,01:38:23.940,01:38:37.286
1_0008/shot_1826,a_Ul72nVtzk,640:256:0:52,01:40:22.850,01:40:34.403
1_0008/shot_1828,a_Ul72nVtzk,640:256:0:52,01:40:40.993,01:40:51.337
1_0009/shot_0013,Qgx9a6QRgZ4,640:256:0:52,00:00:25.542,00:00:40.458
1_0009/shot_0115,Qgx9a6QRgZ4,640:256:0:52,00:04:45.542,00:04:57.125
1_0009/shot_0117,Qgx9a6QRgZ4,640:256:0:52,00:04:58.042,00:05:10.750
1_0009/shot_0499,Qgx9a6QRgZ4,640:256:0:52,00:20:09.250,00:20:19.333
1_0009/shot_0516,Qgx9a6QRgZ4,640:256:0:52,00:21:38.750,00:21:51.042
1_0009/shot_0686,Qgx9a6QRgZ4,640:256:0:52,00:30:48.125,00:31:05.708
1_0009/shot_1058,Qgx9a6QRgZ4,640:256:0:52,00:46:31.708,00:46:51.000
1_0009/shot_1060,Qgx9a6QRgZ4,640:256:0:52,00:46:54.292,00:47:05.292
1_0009/shot_1136,Qgx9a6QRgZ4,640:256:0:52,00:50:10.250,00:50:25.458
1_0009/shot_1298,Qgx9a6QRgZ4,640:256:0:52,00:57:33.083,00:57:46.250
1_0009/shot_1328,Qgx9a6QRgZ4,640:256:0:52,00:59:04.083,00:59:15.167
1_0009/shot_1502,Qgx9a6QRgZ4,640:256:0:52,01:06:37.417,01:06:47.458
1_0009/shot_1821,Qgx9a6QRgZ4,640:256:0:52,01:17:23.750,01:17:38.125
1_0009/shot_1852,Qgx9a6QRgZ4,640:256:0:52,01:20:13.708,01:20:25.750
1_0009/shot_1902,Qgx9a6QRgZ4,640:256:0:52,01:22:09.583,01:22:20.708
1_0009/shot_2066,Qgx9a6QRgZ4,640:256:0:52,01:30:26.667,01:30:38.458
1_0009/shot_2588,Qgx9a6QRgZ4,640:256:0:52,01:49:27.292,01:49:37.708
1_0009/shot_2723,Qgx9a6QRgZ4,640:256:0:52,01:56:13.792,01:56:26.042
1_0009/shot_2725,Qgx9a6QRgZ4,640:256:0:52,01:56:31.375,01:56:41.667
1_0009/shot_2726,Qgx9a6QRgZ4,640:256:0:52,01:56:41.667,01:56:58.000
1_0009/shot_2783,Qgx9a6QRgZ4,640:256:0:52,02:00:15.792,02:00:30.625
1_0010/shot_0020,WeG7pGZEafU,640:256:0:52,00:01:31.120,00:01:47.240
1_0010/shot_0232,WeG7pGZEafU,640:256:0:52,00:11:44.120,00:12:04.040
1_0010/shot_0430,WeG7pGZEafU,640:256:0:52,00:23:40.640,00:23:56.200
1_0010/shot_0748,WeG7pGZEafU,640:256:0:52,00:40:06.360,00:40:18.840
1_0010/shot_0875,WeG7pGZEafU,640:256:0:52,00:48:14.960,00:48:29.000
1_0010/shot_1144,WeG7pGZEafU,640:256:0:52,01:00:11.880,01:00:24.080
1_0010/shot_1389,WeG7pGZEafU,640:256:0:52,01:16:07.080,01:16:22.320
1_0010/shot_1411,WeG7pGZEafU,640:256:0:52,01:17:51.360,01:18:08.760
1_0010/shot_1412,WeG7pGZEafU,640:256:0:52,01:18:08.760,01:18:20.240
1_0010/shot_1527,WeG7pGZEafU,640:256:0:52,01:24:12.080,01:24:27.680
1_0010/shot_1574,WeG7pGZEafU,640:256:0:52,01:26:54.240,01:27:06.120
1_0010/shot_1588,WeG7pGZEafU,640:256:0:52,01:27:50.560,01:28:01.320
1_0010/shot_1746,WeG7pGZEafU,640:256:0:52,01:36:11.360,01:36:24.680
1_0010/shot_1927,WeG7pGZEafU,640:256:0:52,01:48:56.360,01:49:08.520
1_0010/shot_1987,WeG7pGZEafU,640:256:0:52,01:52:49.880,01:53:03.600
